,Headline,Company,Date,Sentiment
276,Apple promotes John Giannandrea to SVP of ML and AI Strategy after hiring ex-Google search chief in April,Apple,2018-12-20,0.3939023203967759
277,These discounted wireless earbuds are a great Apple AirPods alternative,Apple,2018-12-20,2.1009137942281155
278,Qualcomm Granted Permanent Injunction Against Apple in Germany,Apple,2018-12-20,-0.7602859212697056
279,Apple issues second release of iOS 12.1.2,Apple,2018-12-20,-2.0
280,Readdle’s Calendars 5 iOS app update arrives with Apple Watch app and Siri Shortcuts [Giveaway],Apple,2018-12-20,-0.03744956456441306
281,"Chick-fil-A, Chevy, Apple are among the companies ditching merch next year",Apple,2018-12-20,2.0
282,"No, Apple, bent iPad Pros are not acceptable",Apple,2018-12-20,-1.6737922309213475
283,"HomePod Year-In-Review: Promised and surprise features delivered, roadmap now unclear",Apple,2018-12-20,1.6982180463458953
284,"Mark your calendars: $29 iPhone battery replacements, Apple․com Christmas delivery, $20 Apple ID bonus ending soon",Apple,2018-12-20,4.0712489229016935
285,"Hey Siri, are you there? - CNET",Apple,2018-12-20,1.0
286,"If you're funding an Apple ID through Christmas Eve, here's how to get a 10 percent bonus",Apple,2018-12-21,1.0
287,"New 10-inch iPad and ‘low-priced’ iPad mini coming in 2019, according to Chinese media report",Apple,2018-12-21,0.0
288,"9to5Mac Happy Hour 204: iOS changes in China, Apple Music on Alexa, Connect gets Ping’d",Apple,2018-12-21,1.2044267419914065
289,"Apple launches iPhone XR and iPhone XS trade-in offer in China, only at retail stores",Apple,2018-12-21,0.0
290,North Carolina governor says state still in open negotiations with Apple for expansion,Apple,2018-12-21,-1.0
291,"Review: Apple Watch app duo for detailed ski and snowboard tracking, competing with friends, more",Apple,2018-12-21,0.7735711946065681
292,Comment: Qualcomm is playing ridiculously high-stakes poker as iPhones pulled from sale,Apple,2018-12-21,-0.40122366233317486
293,Missed your chance to get an Apple Watch? Give them a last-minute gift card,Apple,2018-12-21,-1.377592307412474
294,Apple’s biggest moves in 2018,Apple,2018-12-21,1.358134658448803
295,"Apple isn't sharing malware definitions with third-party antivirus firms, new analysis suggests",Apple,2018-12-21,0.9059753369125846
296,India's commerce minister to meet with Apple to talk local manufacturing & offices,Apple,2018-12-21,1.386750490563073
297,"Apple is spending Rs 60 crore on water, here's why",Apple,2018-12-24,0.0
298,How Google software won 2018,Apple,2018-12-24,0.24185898799234073
299,Possible iPad mini 5 case leak reveals new design and features,Apple,2018-12-24,2.4094865835678876
300,10 useful tips and tricks every Apple Watch owner should know about,Apple,2018-12-24,0.27885446356067933
301,Apple Could Be Facing Another China Headache,Apple,2018-12-24,0.0
302,"Today’s best deals: Apple Watch Series 3 and 4 discounts, Instant Pot, $250 iPad, $21 earbuds, more",Apple,2018-12-24,1.7280757799889261
303,Apple removes app claiming homosexuality is ‘sin’,Apple,2018-12-24,0.0
304,Streaming: can Netflix keep Apple at bay?,Apple,2018-12-24,0.0
305,48 Hour Mega Deal Zone: $599 iPad Pros; $699 2018 Mac mini; MacBook Airs from $799; up to $900 off MacBook Pros,Apple,2018-12-26,3.82842712474619
306,B&H cuts up to $500 off MacBook Air and MacBook Pros for limited time,Apple,2018-12-26,1.0758829224946926
307,"Apple bested by Tesla and Microsoft in privacy poll, but Facebook destroyed",Apple,2018-12-26,1.1739941245520154
308,How Google Software Won 2018,Apple,2018-12-26,3.0
309,"Today only: LG's Ultra Fine 4K USB-C monitor on sale for $269, compatible with current MacBook Pros",Apple,2018-12-26,3.6717075126806495
310,Apple 2018 Product Launch Event Gets The Bad Lip Reading Treatment,Apple,2018-12-26,-1.8284271247461903
311,"Welcome To The Walled Garden, We've Got Phones And Games",Apple,2018-12-26,-0.6737922309213474
312,Sony boosting 3D camera sensor orders as Apple shows increased interest,Apple,2018-12-27,-0.5857864376269049
313,Apple involved in NPR’s new ‘RAD’ podcast ad targeting analytics standard,Apple,2018-12-27,0.0
314,"The best accessories to complement your new iPhone, iPad, Apple Watch, and more",Apple,2018-12-27,2.884537947927746
315,Flagship iPhones to be made in India as Apple moves beyond low-cost models,Apple,2018-12-27,2.414213562373095
316,How to use the built-in level feature on iPhone,Apple,2018-12-27,0.0
317,"iPads & education in Chicago, Alexa laughing, and the FBI pressing - Apple's March 2018 in review",Apple,2018-12-27,1.0
318,Phones without headphone jacks suck,Apple,2018-12-27,1.049338725704859
319,Phones without headphone jacks suck,Apple,2018-12-27,1.049338725704859
320,Every single person with an Apple TV should also have this $18 accessory,Apple,2018-12-28,-1.6219478898277118
321,"Hebrew voice of Siri sues Apple, says it didn't obtain proper rights",Apple,2018-12-28,-0.7878046407935518
322,9to5Mac Happy Hour 205: Apple’s 2018 Year-In-Review,Apple,2018-12-28,0.9085089926720851
323,"Analysts blow iPhone X sales guesses, Apple Watch saving lives -- Apple's May 2018 in review",Apple,2018-12-28,0.6077869704717376
324,Wemo Mini Smart Plug,Apple,2018-12-28,3.0
325,"5 hours only: Save 15% on iPhones, iPads, AirPods & more at eBay",Apple,2018-12-28,2.9867985355975657
326,T-Mobile launches BOGO deals for Apple and Samsung wearables after New Years,Apple,2018-12-28,-3.8284271247461903
327,Apple Releases New 'Color Flood' iPhone XR Ad,Apple,2018-12-28,2.4094865835678876
328,Samsung may already be working on a second Galaxy Home smart speaker,Apple,2018-12-31,1.7218920641845568
329,"How to upload photos into iCloud Photos from iPhone, iPad, Mac, and icloud․com",Apple,2018-12-31,1.4094865835678874
330,How to Access iCloud on Android: 5 Tips and Solutions,Apple,2018-12-31,2.0
331,Apple iPhone XS Max allegedly explodes,Apple,2018-12-31,-2.0
332,Sony Boosts 3D Camera Output After Interest From Phone Makers,Apple,2018-12-31,1.0
333,Microsoft ends the year the most valuable publicly traded company in the world,Apple,2018-12-31,1.474747107553204
